I00039EU Index,I31914EU Index,I00001EU Index,LE57TREU Index,I00163EU Index,I04276EU Index,MXEUG Index,MXUS Index,MSERP Index,MXGB Index
1.7719267739424958e-15,0.04394892306336273,0.0,0.5101260244575683,0.0,1.1930840972203351e-15,2.70899831295521e-16,0.4330479475655333,0.004717653031008134,0.008159451882524406
2.320797513441796e-16,0.06260076685983595,2.514524924828577e-16,0.5019981063718232,0.0,9.465355945951323e-16,0.0,0.4213855105471405,0.0,0.014015616221199532
5.375963748758073e-16,0.06362057966456432,0.0,0.5021898102012363,0.0,2.121254690445746e-16,0.0,0.42659345830460155,5.4301838918892055e-17,0.007596151829597178
7.491378055507902e-16,0.06084024855558147,0.0,0.5073619851061079,0.0,0.0,0.0,0.41011649501086794,0.0,0.021681271327442783
0.0,0.03342511250788953,0.0,0.5270044916899643,0.0,0.0,0.0050327907005577625,0.4334740279563709,0.001063577145219129,4.084892545275801e-17
0.0,0.032352526791016904,2.0400108528590948e-16,0.5284857968944348,2.7015748707000364e-17,0.0,5.958734211230192e-17,0.42399340890653214,0.015168267408018622,4.0496354158904515e-16
0.0,0.058543176799574846,1.4693209407917018e-16,0.49310565472740964,1.0593274942852503e-16,0.0,0.0,0.4365545431151316,0.011796625357886628,3.902658475317618e-16
2.0044132170218174e-16,0.11909165741103715,4.1993292155243184e-16,0.43147597963258255,6.05659198394405e-17,7.415351082836157e-16,0.024407775359966133,0.4226140258831316,0.002410561713281342,0.0
1.3334894868971537e-15,0.12608667860350142,0.0,0.4234188028679613,2.6972095601719275e-17,1.1493338960598066e-15,0.022899001064358864,0.4275955174641769,0.0,0.0
7.871849571678988e-16,0.11197450321621075,0.0,0.4343912291477272,1.3112120021660292e-16,0.0,0.02590795202707164,0.4277263156089905,0.0,0.0
1.8287551640972164e-15,0.11937859423057005,4.1166906105754024e-16,0.4354552807575599,0.0,6.565322717569829e-16,0.038589760009321204,0.4065763650025468,0.0,0.0
0.0,0.1425249440144686,2.288993564772345e-16,0.41097431045703475,0.0,0.0,0.03682784153498373,0.40958054708684494,9.23569066682442e-05,4.4077763931310486e-17
6.720372254011093e-16,0.10538435515150082,0.0,0.43596412115698885,3.4677389247463864e-17,2.351642380358333e-16,0.00734241895951523,0.411563155541014,0.03974594919098047,0.0
1.2913645485258922e-15,0.06327499902731928,0.07170797425181555,0.4068411110887874,0.0,1.1599544776515562e-15,0.0,0.379688550476457,0.0784873651556191,0.0
0.0,0.09516428558700336,0.04367097909846153,0.4012062996514019,0.005526771129963351,0.0,8.956426526239815e-17,0.3998452472723137,0.05458641726085708,0.0
0.0,0.06756765476908974,4.0180816443942854e-16,0.3572605704766068,0.12523785675350327,6.317409616901928e-16,0.018129714960986767,0.37242654272173914,0.05937766031807456,0.0
0.0,0.07587367369655965,4.080576125575798e-16,0.3517178000514777,0.1212025815032253,2.719892753625703e-16,0.019786410340553652,0.371766615942724,0.05965291846545979,0.0
0.0,0.05373221251161946,2.369185166385693e-16,0.3592713573182042,0.15755621675448603,0.0,0.01816021672527874,0.37151446591816195,0.03976553077225027,0.0
0.03417272298957853,0.04688877177716521,1.6464965241907992e-16,0.23064035149076648,0.18299832612465458,4.278532823170922e-17,0.061595408759310216,0.3717363581419829,0.07196806071654177,0.0
1.8240967733822045e-18,0.10082918240765763,2.6307462807231442e-17,0.3538869895246379,0.06226940168803418,0.0,0.0908649258479874,0.31980227969250685,0.0723472208391761,0.0
0.06956981593942037,0.08176032570075094,0.0,0.360182523845925,0.03381890719065316,4.938792989027255e-17,0.12700313280009617,0.2806212145706187,0.04704407995253554,1.2073792567966788e-17
0.0454463420234587,0.06645753833283945,0.0,0.308352512112928,0.1201428227704948,0.0,0.14453499584673993,0.28271571549454094,0.032350073418998294,3.63207727782644e-18
0.0,0.11952396480637965,0.0,0.14399787061159758,0.19731667588101254,2.6755037572435164e-17,0.16445832537154853,0.2632965673426272,0.10088445804223524,0.010522137944599264
5.044680271333002e-17,0.11610771738049391,0.0,0.13222397276160266,0.22533854028303485,2.6273772158855494e-17,0.17644784305926517,0.2559775022890579,0.07133227282502584,0.02257215140151965
5.3306647209184785e-17,0.08565644759128936,0.03220764699548574,0.14591048270691898,0.22164787024204252,2.492253246231551e-18,0.1996882361888051,0.2542985676716623,0.06059074860379609,0.0
